uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"Gower Street, London, WC1E 6BT",10007784,University College London,UBADUTAUKR18,BA,Dutch and Ukrainian,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-ukrainian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-ukrainian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-ukrainian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-ukrainian-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBADUTAYID18,BA,Dutch and Yiddish,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-and-yiddish-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBADUTWFLM18,BA,Dutch with Film Studies,10,25500,28500,35000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-film-studies-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBADUTWMAN18,BA,Dutch with Management Studies,35,28714.285714285717,32428.571428571428,43928.57142857143,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/dutch-management-studies-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAECHSEDU18,BA,Early Childhood Education,80,30500,38500,53000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/early-childhood-education-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSEARSING18,BSc,Earth Sciences,10,25000,29000,34000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UMSEARSING18,MSci,Earth Sciences,10,25000,29000,34000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-msci,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UMSEARSINT18,MSci,Earth Sciences (International Programme),10,25000,29000,34000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-international-programme-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-international-programme-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-international-programme-msci,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/earth-sciences-international-programme-msci,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBEECOSING18,BSc(Econ),Economics,45,36000,48000,65000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-bsc-econ,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBEECOSABR18,BSc(Econ),Economics,45,36000,48000,65000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-year-abroad-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-year-abroad-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-year-abroad-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-year-abroad-bsc-econ,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAEBSWEES18,BA,Economics and Business with East European Studies,55,34090.90909090909,44454.545454545456,59545.454545454544,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAEBSWEEA18,BA,Economics and Business with East European Studies,55,34090.90909090909,44454.545454545456,59545.454545454544,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-year-abroad-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-business-east-european-studies-year-abroad-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBEECOASTA18,BSc(Econ),Economics and Statistics,60,34500,44750,60250,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-statistics-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-statistics-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-statistics-bsc-econ,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/economics-and-statistics-bsc-econ,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAEDUACUL18,BA,"Education, Society and Culture",10,23000,25000,28000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/education-society-and-culture-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBNEENSEEE22,BEng,Electronic and Electrical Engineering,15,30000,33000,48000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-beng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-beng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-beng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-beng,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UMNEENSEEE22,MEng,Electronic and Electrical Engineering,15,30000,33000,48000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-meng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-meng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-meng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/electronic-and-electrical-engineering-meng,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UFBEENSEEE22,BEng,Electronic and Electrical Engineering with Integrated Foundation Year,15,30000,33000,48000,Silver,Silver,Gold,No,No,Yes,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-foundation-year,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UMNENGAARD18,MEng,Engineering and Architectural Design,75,28000,30800,36200,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-and-architectural-design-meng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-and-architectural-design-meng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-and-architectural-design-meng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/engineering-and-architectural-design-meng,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBAENGSING05,BA,English,20,23000,25500,28000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-ba,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBLLAWSEGL18,LLB,English and German Law,15,31000,48000,50000,Silver,Silver,Gold,No,Yes,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-and-german-law-dual-degree-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-and-german-law-dual-degree-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-and-german-law-dual-degree-llb,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/english-and-german-law-dual-degree-llb,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
"Gower Street, London, WC1E 6BT",10007784,University College London,UBSEARSEGS18,BSc,Environmental Geoscience,10,25000,29000,34000,Silver,Silver,Gold,No,No,No,No,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/environmental-geoscience-bsc,UCL (University College London),9,9,XL,99.9,99.4,94.8,89.3,95.8
