uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,G400,BEng,Computing,35,50000,65000,86000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/computing-beng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/computing-beng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,G401,MEng,Computing,35,50000,65000,86000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/computing-meng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/computing-meng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,G700,MEng,Computing (Artificial Intelligence and Machine Learning),35,50000,65000,86000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/computing-artificial-intelligence-meng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/computing-artificial-intelligence-meng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,G402,MEng,Computing (International Programme of Study),35,50000,65000,86000,Gold,Silver,Gold,No,Yes,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/computing-international-programme-of-study/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/computing-international-programme-of-study/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,G501,MEng,Computing (Management and Finance),35,50000,65000,86000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/computing-computational-management/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/computing-computational-management/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,G610,MEng,Computing (Security and Reliability),35,50000,65000,86000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/computing-security-reliability-meng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/computing-security-reliability-meng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,G600,MEng,Computing (Software Engineering),35,50000,65000,86000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/computing-software-engineering-meng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/computing-software-engineering-meng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,GG47,MEng,Computing (Visual Computing and Robotics),35,50000,65000,86000,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/computing-visual-computing-robotics-meng/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/computing-visual-computing-robotics-meng/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,28G3,MEng,Design Engineering,20,30000,35000,48500,Gold,Silver,Gold,No,No,No,No,https://www.imperial.ac.uk/study/courses/undergraduate/design-engineering/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/design-engineering/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
"Faculty Building, Exhibition Road, London, SW7 2AZ",10003270,Imperial College London,F64B,BSc,Earth and Planetary Science,40,29250,33875,40125,Gold,Silver,Gold,No,No,Yes,No,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-bsc/,https://www.imperial.ac.uk/study/fees-and-funding/undergraduate/bursaries-grants-scholarships/,https://www.imperial.ac.uk/study/courses/undergraduate/earth-planetary-science-bsc/,https://www.imperial.ac.uk/careers/plan-your-career/destinations/undergraduates/,Imperial College London,2,2,L,99.6,100,99.3,95.9,99.4
