ukprn,kiscourseid,programme,crseurl
10007774,H620,Electrical Engineering (4 years),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/engineering-science
10007774,H100,Engineering,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/engineering-science
10007774,Q300,English Language and Literature,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-language-and-literature
10007774,QR3S,English and Beginners' Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,RQ33,English and Beginners' Italian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,QR39,English and Beginners' Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,QR3M,English and Beginners' Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,QR37,English and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,QR31,English and French,http://www.ox.ac.uk/admissions/undergraduate/courses/english-language-and-literature/english-and-french
10007774,QR32,English and German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,QR33,English and Italian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,QQ37,English and Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,QR35,English and Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,QRH7,English and Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,QR34,English and Spanish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/english-and-modern-languages
10007774,C830,Experimental Psychology,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/psychology-experimental
10007774,W100,Fine Art,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/fine-art
10007774,R110,French,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT16,French and Arabic,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R101,French and Beginners German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R1R3,French and Beginners' Italian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR19,French and Beginners' Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR1M,French and Beginners' Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR17,French and Beginners' Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR12,French and German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ14,French and Hebrew,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR13,French and Italian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ11,French and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,RQ17,French and Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RTC6,French and Persian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR15,French and Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RRC7,French and Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR14,French and Spanish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT1P,French and Turkish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R1R7,French with Polish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,L700,Geography,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/geography
10007774,F642,Geology,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/earth-sciences-geology
10007774,R200,German,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT26,German and Arabic,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RRF7,German and Beginners' Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR32,German and Beginners' Italian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RRG9,German and Beginners' Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR2M,German and Beginners' Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR27,German and Beginners' Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR2P,German and Czech (with Slovak),https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ24,German and Hebrew,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR23,German and Italian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RQ21,German and Linguistics,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/linguistics
10007774,RQ27,German and Modern Greek,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT2P,German and Persian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR25,German and Portuguese,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR2Q,German and Russian,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RR24,German and Spanish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,RT2Q,German and Turkish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,R2R7,German with Polish,https://www.ox.ac.uk/admissions/undergraduate/courses/course-listing/modern-languages
10007774,V100,History,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history
10007774,VR1R,History and Beginners' Czech (with Slovak),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,RV31,History and Beginners' Italian,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,VR1X,History and Beginners' Modern Greek,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,VR1N,History and Beginners' Portuguese,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,VR17,History and Czech (with Slovak),http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,LV11,History and Economics,https://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-economics
10007774,VQ13,History and English,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,VR11,History and French,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,VR12,History and German,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,VR13,History and Italian,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,VQ17,History and Modern Greek,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
10007774,LV21,History and Politics,https://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-politics
10007774,VR15,History and Portuguese,http://www.ox.ac.uk/admissions/undergraduate/courses-listing/history-and-modern-languages
