uni_address,ukprn,university,kiscourseid,degree_type,programme,salary_respondents,salary_lq,salary_median,salary_uq,overall_rating,student_experience_rating,student_outcomes_rating,option_sandwich_year,option_year_abroad,option_foundation_year,option_distance_learning,crseurl,supporturl,lturl,employurl,qs_uni_name,rank,previous_rank,size,academic_rep,employer_rep,staff_to_student_ratio,employment_outcomes,overall_score
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_HSTX,BA,History,35,27000,31000,34500,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/history-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/history-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-history,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_HATX,BA,History of Art,55,26000,30000,34500,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/history-of-art-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/history-of-art-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-history-art,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_HSTMLX,BA,History with Modern Languages,70,26500,30750,35250,Gold,Gold,Gold,Yes,Yes,No,No,https://www.undergraduate.study.cam.ac.uk/courses/history-modern-languages-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/history-modern-languages-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-history-and-modern-languages,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_HSTPOX,BA,History with Politics,50,26700,31150,36150,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/history-politics-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/history-politics-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-history-and-politics,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_HPTX,BA,"Human, Social, and Political Sciences",90,29333.33333333333,38583.333333333336,52500,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/human-social-political-sciences-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/human-social-political-sciences-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-human-social-and-political-sciences,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_LETX,BA,Land Economy,75,33333.333333333336,41266.66666666666,63733.333333333336,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/land-economy-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/land-economy-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-land-economy,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_LWTX,BA,Law,25,26000,31000,50000,Gold,Gold,Gold,No,Yes,No,No,https://www.undergraduate.study.cam.ac.uk/courses/law-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/law-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-law,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_LNTX,BA,Linguistics,30,25500,29000,32000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/linguistics-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/linguistics-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-modern-and-medieval-languages-and-linguistics,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_MATX,BA,Mathematics,25,30500,40000,60000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/mathematics-ba-hons-mmath,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/mathematics-ba-hons-mmath,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-mathematics,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_MDBX,"MB,BChir",Medicine,100,34000,36000,40000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/medicine-mb-bchir,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/medicine-mb-bchir,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-medicine,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_MLTX,BA,Modern and Medieval Languages,35,26000,30500,36000,Gold,Gold,Gold,Yes,Yes,No,No,https://www.undergraduate.study.cam.ac.uk/courses/modern-medieval-languages-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/modern-medieval-languages-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-modern-and-medieval-languages-and-linguistics,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_MUTX,BA,Music,15,22000,23500,28000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/music-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/music-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-music,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_NSTX,BA,Natural Sciences,180,30611.11111111111,35138.88888888889,43611.11111111111,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/natural-sciences-ba-hons-msci,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/natural-sciences-ba-hons-msci,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-natural-sciences,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_PHTX,BA,Philosophy,20,26000,28000,32000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/philosophy-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/philosophy-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-philosophy,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_PBTX,BA,Psychological and Behavioural Sciences,10,27000,29000,33000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/psychological-behavioural-sciences-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/psychological-behavioural-sciences-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-psychological-and-behavioural-sciences,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_TRTX,BA,"Theology, Religion, and Philosophy of Religion",15,26000,27500,32000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/theology-religion-philosophy-of-religion-ba-hons,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/theology-religion-philosophy-of-religion-ba-hons,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-theology-religion-and-philosophy-religion,University of Cambridge,6,5,L,100,100,100,100,97.2
"The Old Schools, Trinity Lane, Cambridge, CB2 1TN",10007788,University of Cambridge,UG_VETMB,Vet.M.B,Veterinary Medicine,20,31000,32500,35000,Gold,Gold,Gold,No,No,No,No,https://www.undergraduate.study.cam.ac.uk/courses/veterinary-medicine-vetmb,https://www.undergraduate.study.cam.ac.uk/fees-and-finance/financial-support,https://www.undergraduate.study.cam.ac.uk/courses/veterinary-medicine-vetmb,https://www.careers.cam.ac.uk/using-your-degree/using-your-degree-veterinary-medicine,University of Cambridge,6,5,L,100,100,100,100,97.2
